ID,BusinessCaseTypeName,Status,SubStatus,Overall_Status,CountryName,Region,SubRegion,G8_Countries,RequesterName,Date(DateCreated),Date(Response_Date_to_Affiliate),Date(Expected_Effective_Price_Date),CaseRational,CoordinatingLevel,ApprovalRoute,Channel_Type,Channel,ProductName,PackSize,Brand,DeliveryName,CurrencyName,RequestedPrice,CurrentPrice,NegotiatePrice,ApprovedPrice,Standard,U2Standard,FloorPrice,VsCurrentPrice,VsFloorPrice,Date(NegotiateDate),PriceTypeName,Reimbursement_Change,Date(Case_Validated_Date)
1,Price Change Core Brands,Rejected,closed,Rejected closed,SLOVAKIA,Europe,East Europe,NO,Tomas Gomez,6/25/2020,6/25/2020,7/7/2020,Price review due to IRP,LV5-GP - Head,Light,Regional,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,90.00,92.82,,90.00,92.82,90.00,0.00,-3.04,0.00,,Gross Ex-Factory Price,Yes,8/7/2020
1,Price Change Core Brands,Rejected,closed,Rejected closed,SLOVAKIA,Europe,East Europe,NO,Tomas Gomez,6/25/2020,6/25/2020,7/7/2020,Price review due to IRP,LV5-GP - Head,Light,Regional,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,80.00,0.00,,80.00,0.00,80.00,0.00,0.00,0.00,,Net Price,Yes,8/7/2020
100,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/13/2020,8/1/2020,1/1/2021,Tender,LV5-GP - Head,Light,National,Public (Reimbursed),KEPPRA/BOTTLE/1.00,1.00,KEPPRA,BOTTLE,CNY,137.25,205.08,137.25,137.25,25.64,17.16,0.00,-33.07,0.00,11/27/2020,Gross Ex-Factory Price,No,10/18/2020
100,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/13/2020,8/1/2020,1/1/2021,Tender,LV5-GP - Head,Light,National,Public (Reimbursed),KEPPRA/BOTTLE/1.00,1.00,KEPPRA,BOTTLE,CNY,165.87,288.00,165.87,165.87,36.00,20.73,0.00,-42.42,0.00,11/27/2020,Gross Public Price - Including VAT,No,10/18/2020
100,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/13/2020,8/1/2020,1/1/2021,Tender,LV5-GP - Head,Light,National,Public (Reimbursed),KEPPRA/BOTTLE/1.00,1.00,KEPPRA,BOTTLE,CNY,133.82,0.00,133.82,133.82,0.00,16.73,0.00,0.00,0.00,11/27/2020,Net Price,No,10/18/2020
100,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/13/2020,8/1/2020,1/1/2021,Tender,LV5-GP - Head,Light,National,Public (Reimbursed),KEPPRA/VIAL/1.00,1.00,KEPPRA,VIAL,CNY,669.20,"2,676.84",669.20,669.20,334.61,83.65,0.00,-75.00,0.00,11/27/2020,Gross Ex-Factory Price,No,10/18/2020
100,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/13/2020,8/1/2020,1/1/2021,Tender,LV5-GP - Head,Light,National,Public (Reimbursed),KEPPRA/VIAL/1.00,1.00,KEPPRA,VIAL,CNY,850.00,0.00,850.00,850.00,0.00,106.25,0.00,0.00,0.00,11/27/2020,Gross Public Price - Including VAT,No,10/18/2020
100,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/13/2020,8/1/2020,1/1/2021,Tender,LV5-GP - Head,Light,National,Public (Reimbursed),KEPPRA/VIAL/1.00,1.00,KEPPRA,VIAL,CNY,669.20,0.00,669.20,669.20,0.00,83.65,0.00,0.00,0.00,11/27/2020,Net Price,No,10/18/2020
108,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/26/2020,11/25/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/2.00,2.00,CIMZIA,SYRINGE,CNY,"1,600.78","3,818.00","1,600.78","1,600.78",477.25,200.10,0.00,-58.07,0.00,12/10/2020,Gross Ex-Factory Price,Yes,12/7/2020
108,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/26/2020,11/25/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/2.00,2.00,CIMZIA,SYRINGE,CNY,"2,060.00",0.00,"2,060.00","2,060.00",0.00,257.50,0.00,0.00,0.00,12/10/2020,Gross Public Price - Including VAT,Yes,12/7/2020
